statement_period,transaction_date,pan,investor_name,isin,security_name,asset_class,transaction_type,amount,units,price_nav,pdf_filename
"JAN 2020","2020-01-15","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE002A01018","RELIANCE INDUSTRIES LIMITED","Equities (E)","Redemption",23354.07,8.194,2850.0,"NSDLe-CAS_DEMO_JAN_2020.PDF"
"FEB 2020","2020-02-07","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE040A01034","HDFC BANK LIMITED","Equities (E)","Purchase",15595.21,9.283,1680.0,"NSDLe-CAS_DEMO_FEB_2020.PDF"
"MAR 2020","2020-03-01","XYZWB9876M","JANE DOE (SPOUSE)","INF879O01019","PARAG PARIKH FLEXI CAP FUND","Mutual Funds (M)","Monthly SIP Purchase",14865.1,217.009,68.5,"NSDLe-CAS_DEMO_MAR_2020.PDF"
"MAR 2020","2020-03-24","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","IN0020210145","GOVT OF INDIA SGB 2021-22 SERIES VI","Government Securities (G)","Purchase",27454.73,3.685,7450.0,"NSDLe-CAS_DEMO_MAR_2020.PDF"
"APR 2020","2020-04-16","XYZWB9876M","JANE DOE (SPOUSE)","INFAIF009912","INDIA VENTURE OPPORTUNITY FUND","Alternate Investment Fund (A)","Redemption",15509.66,12.925,1200.0,"NSDLe-CAS_DEMO_APR_2020.PDF"
"MAY 2020","2020-05-09","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","NPS_ICICI_SCHEME_E","ICICI PENSION FUND SCHEME E - TIER 1","National Pension System (N)","Purchase",28383.44,523.68,54.2,"NSDLe-CAS_DEMO_MAY_2020.PDF"
"JUN 2020","2020-06-01","XYZWB9876M","JANE DOE (SPOUSE)","INE018A07890","L&T FINANCE 8.5% CORPORATE BONDS","Corporate Bonds (C)","Purchase",40912.92,40.111,1020.0,"NSDLe-CAS_DEMO_JUN_2020.PDF"
"JUN 2020","2020-06-24","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE155A04010","TATA MOTORS 7% PREFERENCE SHARES","Preference Shares (P)","Purchase",20976.02,1872.859,11.2,"NSDLe-CAS_DEMO_JUN_2020.PDF"
"JUL 2020","2020-07-17","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE002A01018","RELIANCE INDUSTRIES LIMITED","Equities (E)","Redemption",13772.83,4.833,2850.0,"NSDLe-CAS_DEMO_JUL_2020.PDF"
"AUG 2020","2020-08-09","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE040A01034","HDFC BANK LIMITED","Equities (E)","Purchase",44901.5,26.727,1680.0,"NSDLe-CAS_DEMO_AUG_2020.PDF"
"SEP 2020","2020-09-01","XYZWB9876M","JANE DOE (SPOUSE)","INF879O01019","PARAG PARIKH FLEXI CAP FUND","Mutual Funds (M)","Monthly SIP Purchase",25381.05,370.526,68.5,"NSDLe-CAS_DEMO_SEP_2020.PDF"
"SEP 2020","2020-09-24","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","IN0020210145","GOVT OF INDIA SGB 2021-22 SERIES VI","Government Securities (G)","Purchase",8636.38,1.159,7450.0,"NSDLe-CAS_DEMO_SEP_2020.PDF"
"OCT 2020","2020-10-17","XYZWB9876M","JANE DOE (SPOUSE)","INFAIF009912","INDIA VENTURE OPPORTUNITY FUND","Alternate Investment Fund (A)","Redemption",6884.66,5.737,1200.0,"NSDLe-CAS_DEMO_OCT_2020.PDF"
"NOV 2020","2020-11-09","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","NPS_ICICI_SCHEME_E","ICICI PENSION FUND SCHEME E - TIER 1","National Pension System (N)","Purchase",9385.97,173.173,54.2,"NSDLe-CAS_DEMO_NOV_2020.PDF"
"DEC 2020","2020-12-02","XYZWB9876M","JANE DOE (SPOUSE)","INE018A07890","L&T FINANCE 8.5% CORPORATE BONDS","Corporate Bonds (C)","Purchase",30097.84,29.508,1020.0,"NSDLe-CAS_DEMO_DEC_2020.PDF"
"DEC 2020","2020-12-25","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE155A04010","TATA MOTORS 7% PREFERENCE SHARES","Preference Shares (P)","Purchase",36683.17,3275.283,11.2,"NSDLe-CAS_DEMO_DEC_2020.PDF"
"JAN 2021","2021-01-17","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE002A01018","RELIANCE INDUSTRIES LIMITED","Equities (E)","Redemption",21886.4,7.679,2850.0,"NSDLe-CAS_DEMO_JAN_2021.PDF"
"FEB 2021","2021-02-09","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE040A01034","HDFC BANK LIMITED","Equities (E)","Purchase",7541.11,4.489,1680.0,"NSDLe-CAS_DEMO_FEB_2021.PDF"
"MAR 2021","2021-03-04","XYZWB9876M","JANE DOE (SPOUSE)","INF879O01019","PARAG PARIKH FLEXI CAP FUND","Mutual Funds (M)","Monthly SIP Purchase",20264.77,295.836,68.5,"NSDLe-CAS_DEMO_MAR_2021.PDF"
"MAR 2021","2021-03-27","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","IN0020210145","GOVT OF INDIA SGB 2021-22 SERIES VI","Government Securities (G)","Purchase",44844.86,6.019,7450.0,"NSDLe-CAS_DEMO_MAR_2021.PDF"
"APR 2021","2021-04-19","XYZWB9876M","JANE DOE (SPOUSE)","INFAIF009912","INDIA VENTURE OPPORTUNITY FUND","Alternate Investment Fund (A)","Redemption",26164.57,21.804,1200.0,"NSDLe-CAS_DEMO_APR_2021.PDF"
"MAY 2021","2021-05-12","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","NPS_ICICI_SCHEME_E","ICICI PENSION FUND SCHEME E - TIER 1","National Pension System (N)","Purchase",43843.14,808.914,54.2,"NSDLe-CAS_DEMO_MAY_2021.PDF"
"JUN 2021","2021-06-04","XYZWB9876M","JANE DOE (SPOUSE)","INE018A07890","L&T FINANCE 8.5% CORPORATE BONDS","Corporate Bonds (C)","Purchase",39431.19,38.658,1020.0,"NSDLe-CAS_DEMO_JUN_2021.PDF"
"JUN 2021","2021-06-27","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE155A04010","TATA MOTORS 7% PREFERENCE SHARES","Preference Shares (P)","Purchase",5459.24,487.432,11.2,"NSDLe-CAS_DEMO_JUN_2021.PDF"
"JUL 2021","2021-07-20","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE002A01018","RELIANCE INDUSTRIES LIMITED","Equities (E)","Redemption",33828.87,11.87,2850.0,"NSDLe-CAS_DEMO_JUL_2021.PDF"
"AUG 2021","2021-08-12","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","INE040A01034","HDFC BANK LIMITED","Equities (E)","Purchase",32268.41,19.207,1680.0,"NSDLe-CAS_DEMO_AUG_2021.PDF"
"SEP 2021","2021-09-04","XYZWB9876M","JANE DOE (SPOUSE)","INF879O01019","PARAG PARIKH FLEXI CAP FUND","Mutual Funds (M)","Monthly SIP Purchase",26478.81,386.552,68.5,"NSDLe-CAS_DEMO_SEP_2021.PDF"
"SEP 2021","2021-09-27","ABCDE1234F","JOHN DOE (DEMO INVESTOR)","IN0020210145","GOVT OF INDIA SGB 2021-22 SERIES VI","Government Securities (G)","Purchase",15673.01,2.104,7450.0,"NSDLe-CAS_DEMO_SEP_2021.PDF"
